"site","year","season","mean.temp","var.temp","sd.temp"
"ABUR",2002,"summer",14.659310880829,1.04740593373891,1.02342851911548
"ABUR",2002,"winter",15.1975683431506,0.504184578253142,0.710059559651964
"ABUR",2003,"summer",15.0143253503637,1.69602401350177,1.30231486726589
"ABUR",2003,"winter",13.582750617284,3.36044994497929,1.83315300642889
"ABUR",2004,"summer",15.9027080982554,4.07415464473381,2.01845352800945
"ABUR",2004,"winter",14.5714674098753,2.72107506565873,1.64956814520005
"ABUR",2005,"summer",14.8710190972222,2.62388692037485,1.61984163435036
"ABUR",2005,"winter",14.2555031351351,2.11678398940594,1.4549171761327
"ABUR",2006,"summer",15.4164161097127,2.36019141676827,1.536291449162
"ABUR",2006,"winter",14.1101165859145,3.50386420336571,1.87186116028025
"ABUR",2007,"summer",15.4593646384862,2.05832133239183,1.43468509868606
"ABUR",2007,"winter",13.2259224350383,1.27457602883295,1.12897122586581
"ABUR",2008,"summer",15.8545894097222,2.56668216493692,1.6020868156679
"ABUR",2008,"winter",13.3703012937397,2.79895547297445,1.67300791180868
"ABUR",2009,"summer",15.0503808927826,1.84382565670859,1.35787542017248
"ABUR",2009,"winter",13.5178271448217,2.65035911108748,1.62799235596715
"ABUR",2010,"summer",14.0269511284722,1.66558768412929,1.29057649293999
"ABUR",2010,"winter",13.6216438109319,2.782411020938,1.66805606049017
"ABUR",2011,"summer",15.00582545894,2.4811367839328,1.57516246271069
"ABUR",2011,"winter",13.46199704323,2.17390381754902,1.47441643288083
"ABUR",2012,"summer",15.5459571439446,1.45067911440863,1.20444141177918
"ABUR",2012,"winter",13.8460641076051,3.28152855129182,1.81149897910317
"ABUR",2013,"summer",15.5326906139205,1.83167128357521,1.35339250905833
"ABUR",2013,"winter",14.2594237692421,3.09305413645204,1.75870808733344
"ABUR",2014,"summer",17.2388002903005,2.40272492698139,1.55007255539261
"ABUR",2014,"winter",15.8963606295127,6.54644939123552,2.55860301556055
"ABUR",2015,"summer",17.8331749671772,6.31470055175434,2.51290679328827
"ABUR",2015,"winter",16.1992280467519,5.08928567803002,2.2559445201578
"ABUR",2016,"summer",16.01046814736,3.01692961746759,1.73693109174417
"ABUR",2016,"winter",14.7922500789391,1.52048434980391,1.23307921473193
"ABUR",2017,"summer",16.3678290946966,1.6716410125423,1.29291956924717
"ABUR",2017,"winter",14.6739427127971,3.03027092034677,1.74076733664978
"ABUR",2018,"summer",17.3695701388889,3.83895276361588,1.95932456821627
"ABUR",2018,"winter",15.0102775374509,5.01433726852436,2.23927159329197
"ABUR",2019,"summer",14.9518436435868,1.05141233802089,1.02538399539923
"ABUR",2019,"winter",13.6450854954458,1.67546853688984,1.29439890949036
"AHND",2002,"summer",15.222619047619,0.48147403677306,0.693883301984606
"AHND",2002,"winter",15.0991341942305,0.613791771658996,0.78344864009008
"AHND",2003,"summer",15.999754283138,2.7921550467122,1.67097428068543
"AHND",2003,"winter",14.5403550583658,2.94966765637336,1.71745965203651
"AHND",2004,"summer",16.422512215469,3.53862749016654,1.88112399648895
"AHND",2004,"winter",14.2065114748921,2.47891214523345,1.57445614268339
"AHND",2005,"summer",15.798252672721,3.27709729140322,1.81027547389982
"AHND",2005,"winter",14.39193722001,2.17643002673483,1.47527286517947
"AHND",2006,"summer",15.9680080409357,3.4253022000632,1.85075719640995
"AHND",2006,"winter",13.7998851939826,3.56506855893889,1.88813891410004
"AHND",2007,"summer",15.7951514625467,3.06628749658832,1.75108180750881
"AHND",2007,"winter",13.0598265945946,1.3630149543611,1.16748231436759
"AHND",2008,"summer",16.2492804444059,4.74063426518091,2.17729976465826
"AHND",2008,"winter",13.0938458722708,3.68568241470185,1.91981311973375
"AHND",2009,"summer",15.6162526909722,3.08568340250166,1.75661134076427
"AHND",2009,"winter",13.7884616415845,3.66305719262088,1.91391149027871
"AHND",2010,"summer",14.5867797743056,1.61216576111532,1.26971089666716
"AHND",2010,"winter",13.4699697336562,2.9854531618158,1.72784639416118
"AHND",2011,"summer",15.5597243055556,3.32406848379878,1.82320280928886
"AHND",2011,"winter",13.1229166999441,2.6551147907842,1.6294522977934
"AHND",2012,"summer",17.0193783700031,1.67508322845946,1.29425006411414
"AHND",2012,"winter",15.0473105895987,3.17874238388812,1.7829027970947
"AHND",2013,"summer",16.0794396411093,2.40841412728518,1.55190661036197
"AHND",2013,"winter",13.6837594943758,3.21632862834865,1.7934125650136
"AHND",2014,"summer",17.3673710069444,2.52755868428823,1.5898297658203
"AHND",2014,"winter",16.111515842327,6.83599094403794,2.61457280335391
"AHND",2015,"summer",18.0032507005254,6.38727157099956,2.52730519941687
"AHND",2015,"winter",15.9004234902764,5.25327837595631,2.29200313611398
"AHND",2016,"summer",16.9044258389262,2.79912711352852,1.67305920801642
"AHND",2016,"winter",14.8566113075301,2.22180351327517,1.49057153913362
"AHND",2017,"summer",16.5284052083333,2.41644086122817,1.55449054716591
"AHND",2017,"winter",14.3770524886494,2.96728757424133,1.72258165967287
"AHND",2018,"summer",17.436358344499,4.23545981187608,2.05802327777799
"AHND",2018,"winter",14.4208930993613,5.18399574710769,2.27683898137477
"AHND",2019,"summer",15.0065761506276,1.66319388348287,1.28964874422568
"AHND",2019,"winter",13.5981888628209,1.93995021931424,1.39282095737903
"AQUE",2003,"summer",15.1401182759013,2.13038772486277,1.45958477823755
"AQUE",2003,"winter",12.9053320939917,4.31339600723301,2.07687168771521
"AQUE",2004,"summer",16.2119763909383,3.7084984459704,1.92574620497364
"AQUE",2004,"winter",14.3684138475995,3.06873808351769,1.75178140289184
