"","station","year","target_depth_m","name","n"
"142","BULL",2001,5,"urea",1
"143","BULL",2001,8,"ammonia",1
"144","BULL",2001,8,"no2_no3",0
"145","BULL",2001,8,"po4",0
"146","BULL",2001,8,"tchl",0
"147","BULL",2001,8,"urea",1
"148","BULL",2001,10,"ammonia",1
"149","BULL",2001,10,"no2_no3",0
"150","BULL",2001,10,"po4",0
"151","BULL",2001,10,"tchl",0
"152","BULL",2001,10,"urea",1
"153","CI",NA,NA,NA,NA
"154","CO",NA,NA,NA,NA
"155","CARP",2000,1,"ammonia",1
"156","CARP",2000,1,"no2_no3",0
"157","CARP",2000,1,"po4",0
"158","CARP",2000,1,"tchl",0
"159","CARP",2000,1,"urea",1
"160","CARP",2000,5,"ammonia",1
"161","CARP",2000,5,"no2_no3",0
"162","CARP",2000,5,"po4",0
"163","CARP",2000,5,"tchl",0
"164","CARP",2000,5,"urea",1
"165","CARP",2001,1,"ammonia",1
"166","CARP",2001,1,"no2_no3",0.5
"167","CARP",2001,1,"po4",0.333333333333333
"168","CARP",2001,1,"tchl",0
"169","CARP",2001,1,"urea",1
"170","CARP",2001,5,"ammonia",1
"171","CARP",2001,5,"no2_no3",0.0833333333333333
"172","CARP",2001,5,"po4",0
"173","CARP",2001,5,"tchl",0
"174","CARP",2001,5,"urea",1
"175","CARP",2001,7,"ammonia",1
"176","CARP",2001,7,"no2_no3",0
"177","CARP",2001,7,"po4",0
"178","CARP",2001,7,"tchl",0
"179","CARP",2001,7,"urea",1
"180","CARP",2002,1,"ammonia",0.888888888888889
"181","CARP",2002,1,"no2_no3",0.444444444444444
"182","CARP",2002,1,"po4",0.222222222222222
"183","CARP",2002,1,"tchl",0
"184","CARP",2002,1,"urea",1
"185","CARP",2002,5,"ammonia",0.777777777777778
"186","CARP",2002,5,"no2_no3",0.222222222222222
"187","CARP",2002,5,"po4",0.111111111111111
"188","CARP",2002,5,"tchl",0
"189","CARP",2002,5,"urea",1
"190","CARP",2002,10,"ammonia",1
"191","CARP",2002,10,"no2_no3",1
"192","CARP",2002,10,"po4",1
"193","CARP",2002,10,"tchl",1
"194","CARP",2002,10,"urea",1
"195","CARP",2002,NA,"ammonia",0.666666666666667
"196","CARP",2002,NA,"no2_no3",0.666666666666667
"197","CARP",2002,NA,"po4",0
"198","CARP",2002,NA,"tchl",0
"199","CARP",2002,NA,"urea",1
"200","CARP",2003,1,"ammonia",0
"201","CARP",2003,1,"no2_no3",0.222222222222222
"202","CARP",2003,1,"po4",0.222222222222222
"203","CARP",2003,1,"tchl",0
"204","CARP",2003,1,"urea",1
"205","CARP",2003,5,"ammonia",0
"206","CARP",2003,5,"no2_no3",0.222222222222222
"207","CARP",2003,5,"po4",0.111111111111111
"208","CARP",2003,5,"tchl",0
"209","CARP",2003,5,"urea",1
"210","CARP",2004,1,"ammonia",0.111111111111111
"211","CARP",2004,1,"no2_no3",0.777777777777778
"212","CARP",2004,1,"po4",0.333333333333333
"213","CARP",2004,1,"tchl",0.111111111111111
"214","CARP",2004,1,"urea",1
"215","CARP",2004,5,"ammonia",0
"216","CARP",2004,5,"no2_no3",0.333333333333333
"217","CARP",2004,5,"po4",0.111111111111111
"218","CARP",2004,5,"tchl",0.111111111111111
"219","CARP",2004,5,"urea",1
"220","CARP",2005,1,"ammonia",0.181818181818182
"221","CARP",2005,1,"no2_no3",0.363636363636364
"222","CARP",2005,1,"po4",0.181818181818182
"223","CARP",2005,1,"tchl",0
"224","CARP",2005,1,"urea",1
"225","CARP",2005,5,"ammonia",0.0909090909090909
"226","CARP",2005,5,"no2_no3",0.181818181818182
"227","CARP",2005,5,"po4",0
"228","CARP",2005,5,"tchl",0
"229","CARP",2005,5,"urea",1
"230","CARP",2006,1,"ammonia",0
"231","CARP",2006,1,"no2_no3",0
"232","CARP",2006,1,"po4",0
"233","CARP",2006,1,"tchl",0
"234","CARP",2006,1,"urea",1
"235","CARP",2006,5,"ammonia",0
"236","CARP",2006,5,"no2_no3",0
"237","CARP",2006,5,"po4",0
"238","CARP",2006,5,"tchl",0
"239","CARP",2006,5,"urea",1
"240","CARP",2008,1,"ammonia",0.166666666666667
"241","CARP",2008,1,"no2_no3",0.166666666666667
"242","CARP",2008,1,"po4",0
"243","CARP",2008,1,"tchl",0
"244","CARP",2008,1,"urea",1
"245","CARP",2008,5,"ammonia",0
"246","CARP",2008,5,"no2_no3",0
"247","CARP",2008,5,"po4",0
"248","CARP",2008,5,"tchl",0
"249","CARP",2008,5,"urea",1
"250","CARP",2009,1,"ammonia",0.166666666666667
"251","CARP",2009,1,"no2_no3",0.0833333333333333
"252","CARP",2009,1,"po4",0
"253","CARP",2009,1,"tchl",0
"254","CARP",2009,1,"urea",1
"255","CARP",2009,5,"ammonia",0
"256","CARP",2009,5,"no2_no3",0
"257","CARP",2009,5,"po4",0
"258","CARP",2009,5,"tchl",0
"259","CARP",2009,5,"urea",1
"260","CARP",2010,1,"ammonia",0.166666666666667
"261","CARP",2010,1,"no2_no3",0.25
"262","CARP",2010,1,"po4",0
"263","CARP",2010,1,"tchl",0
"264","CARP",2010,1,"urea",1
"265","CARP",2010,5,"ammonia",0
"266","CARP",2010,5,"no2_no3",0.166666666666667
"267","CARP",2010,5,"po4",0
"268","CARP",2010,5,"tchl",0
"269","CARP",2010,5,"urea",1
"270","CARP",2011,1,"ammonia",0.166666666666667
"271","CARP",2011,1,"no2_no3",0.416666666666667
"272","CARP",2011,1,"po4",0.0833333333333333
"273","CARP",2011,1,"tchl",0
"274","CARP",2011,1,"urea",1
"275","CARP",2011,5,"ammonia",0
"276","CARP",2011,5,"no2_no3",0.25
"277","CARP",2011,5,"po4",0
"278","CARP",2011,5,"tchl",0
"279","CARP",2011,5,"urea",1
"280","CARP",2012,1,"ammonia",0.25
"281","CARP",2012,1,"no2_no3",0.0833333333333333
"282","CARP",2012,1,"po4",0
"283","CARP",2012,1,"tchl",0
"284","CARP",2012,1,"urea",1
"285","CARP",2012,5,"ammonia",0.0833333333333333
"286","CARP",2012,5,"no2_no3",0.166666666666667
"287","CARP",2012,5,"po4",0
"288","CARP",2012,5,"tchl",0
"289","CARP",2012,5,"urea",1
"290","CARP",2013,1,"ammonia",0.181818181818182
"291","CARP",2013,1,"no2_no3",0.363636363636364
"292","CARP",2013,1,"po4",0.181818181818182
"293","CARP",2013,1,"tchl",0
"294","CARP",2013,1,"urea",1
"295","CARP",2013,5,"ammonia",0.181818181818182
"296","CARP",2013,5,"no2_no3",0.0909090909090909
"297","CARP",2013,5,"po4",0.181818181818182
"298","CARP",2013,5,"tchl",0
"299","CARP",2013,5,"urea",1
"300","CARP",2014,1,"ammonia",0.166666666666667
"301","CARP",2014,1,"no2_no3",0.5
"302","CARP",2014,1,"po4",0.166666666666667
"303","CARP",2014,1,"tchl",0
"304","CARP",2014,1,"urea",1
"305","CARP",2014,5,"ammonia",0
"306","CARP",2014,5,"no2_no3",0.333333333333333
"307","CARP",2014,5,"po4",0
"308","CARP",2014,5,"tchl",0
"309","CARP",2014,5,"urea",1
"310","CARP",2015,1,"ammonia",0.166666666666667
"311","CARP",2015,1,"no2_no3",0.666666666666667
"312","CARP",2015,1,"po4",0
"313","CARP",2015,1,"tchl",0
"314","CARP",2015,1,"urea",1
"315","CARP",2015,5,"ammonia",0.166666666666667
"316","CARP",2015,5,"no2_no3",0.666666666666667
"317","CARP",2015,5,"po4",0
"318","CARP",2015,5,"tchl",0
"319","CARP",2015,5,"urea",1
"320","CARP",2016,1,"ammonia",0.25
"321","CARP",2016,1,"no2_no3",0.75
"322","CARP",2016,1,"po4",0.0833333333333333
"323","CARP",2016,1,"tchl",0
"324","CARP",2016,1,"urea",0.333333333333333
"325","CARP",2016,5,"ammonia",0.0833333333333333
"326","CARP",2016,5,"no2_no3",0.666666666666667
"327","CARP",2016,5,"po4",0
"328","CARP",2016,5,"tchl",0
"329","CARP",2016,5,"urea",0.333333333333333
"330","CARP",2017,1,"ammonia",0.0833333333333333
"331","CARP",2017,1,"no2_no3",0.5
"332","CARP",2017,1,"po4",0.0833333333333333
"333","CARP",2017,1,"tchl",0
"334","CARP",2017,1,"urea",0
"335","CARP",2017,5,"ammonia",0.166666666666667
"336","CARP",2017,5,"no2_no3",0.416666666666667
"337","CARP",2017,5,"po4",0.0833333333333333
"338","CARP",2017,5,"tchl",0
"339","CARP",2017,5,"urea",0
"340","CARP",2018,1,"ammonia",0.416666666666667
"341","CARP",2018,1,"no2_no3",0.416666666666667
"342","CARP",2018,1,"po4",0.25
"343","CARP",2018,1,"tchl",0
"344","CARP",2018,1,"urea",0.333333333333333
"345","CARP",2018,5,"ammonia",0.333333333333333
"346","CARP",2018,5,"no2_no3",0.5
"347","CARP",2018,5,"po4",0.0833333333333333
"348","CARP",2018,5,"tchl",0
"349","CARP",2018,5,"urea",0.166666666666667
"350","MI",NA,NA,NA,NA
"351","MOHK",2006,1,"ammonia",0.25
"352","MOHK",2006,1,"no2_no3",0.75
"353","MOHK",2006,1,"po4",0.0833333333333333
"354","MOHK",2006,1,"tchl",0.416666666666667
"355","MOHK",2006,1,"urea",1
"356","MOHK",2006,5,"ammonia",0.25
"357","MOHK",2006,5,"no2_no3",0.666666666666667
"358","MOHK",2006,5,"po4",0.166666666666667
"359","MOHK",2006,5,"tchl",0.416666666666667
"360","MOHK",2006,5,"urea",1
"361","MOHK",2007,1,"ammonia",0
"362","MOHK",2007,1,"no2_no3",0.333333333333333
"363","MOHK",2007,1,"po4",0.0833333333333333
"364","MOHK",2007,1,"tchl",0
"365","MOHK",2007,1,"urea",1
"366","MOHK",2007,5,"ammonia",0
"367","MOHK",2007,5,"no2_no3",0.166666666666667
"368","MOHK",2007,5,"po4",0
"369","MOHK",2007,5,"tchl",0
"370","MOHK",2007,5,"urea",1
"371","MOHK",2008,1,"ammonia",0.333333333333333
"372","MOHK",2008,1,"no2_no3",0.25
"373","MOHK",2008,1,"po4",0
"374","MOHK",2008,1,"tchl",0
"375","MOHK",2008,1,"urea",1
"376","MOHK",2008,5,"ammonia",0.166666666666667
"377","MOHK",2008,5,"no2_no3",0.0833333333333333
"378","MOHK",2008,5,"po4",0
"379","MOHK",2008,5,"tchl",0
"380","MOHK",2008,5,"urea",1
"381","MOHK",2009,1,"ammonia",0.333333333333333
"382","MOHK",2009,1,"no2_no3",0.333333333333333
"383","MOHK",2009,1,"po4",0
"384","MOHK",2009,1,"tchl",0
"385","MOHK",2009,1,"urea",1
"386","MOHK",2009,5,"ammonia",0.416666666666667
"387","MOHK",2009,5,"no2_no3",0.0833333333333333
"388","MOHK",2009,5,"po4",0
"389","MOHK",2009,5,"tchl",0
"390","MOHK",2009,5,"urea",1
"391","MOHK",2010,1,"ammonia",0.166666666666667
"392","MOHK",2010,1,"no2_no3",0.166666666666667
"393","MOHK",2010,1,"po4",0
"394","MOHK",2010,1,"tchl",0
"395","MOHK",2010,1,"urea",1
"396","MOHK",2010,5,"ammonia",0
"397","MOHK",2010,5,"no2_no3",0.0833333333333333
"398","MOHK",2010,5,"po4",0
"399","MOHK",2010,5,"tchl",0
"400","MOHK",2010,5,"urea",1
"401","MOHK",2011,1,"ammonia",0.333333333333333
"402","MOHK",2011,1,"no2_no3",0.416666666666667
"403","MOHK",2011,1,"po4",0
"404","MOHK",2011,1,"tchl",0
"405","MOHK",2011,1,"urea",1
"406","MOHK",2011,5,"ammonia",0.0833333333333333
"407","MOHK",2011,5,"no2_no3",0.333333333333333
"408","MOHK",2011,5,"po4",0.0833333333333333
