"station","year","target_depth_m","max_ammonia","max_no2_no3","max_po4","max_tchl","max_urea","mean_ammonia","mean_no2_no3","mean_po4","mean_tchl","mean_urea"
"CARP",2014,1,1490,999,1339,15.4664,NA,763,688.833333333333,802.3,2.27788333333333,NA
"CARP",2014,5,1364,1449,1329,15.3387,NA,629,531.375,829.083333333333,2.99555,NA
"CARP",2015,1,999,1040,1336,6.282,NA,512.7,459.75,678,1.3719,NA
"CARP",2015,5,1309,1505,1732,11.0396,NA,600.8,619.5,828.333333333333,1.91615,NA
"CARP",2016,1,1441,1712,1918,3.4442,262,476.666666666667,1297,886.090909090909,1.80945,197
"CARP",2016,5,1411,1744,1951,4.7492,235,694.090909090909,1150,974,2.53125,163
"CARP",2017,1,1461,1369,1700,10.7548,273,948.727272727273,890.666666666667,834.272727272727,2.84463333333333,153.5
"CARP",2017,5,1496,1326,1536,4.1084,187,894.6,796.571428571429,1011.90909090909,1.83499166666667,114.666666666667
"CARP",2018,1,1645,1591,2013,12.4583,191,696.428571428571,700.714285714286,1245.77777777778,2.89495,80.875
"CARP",2018,5,1621,1603,1953,8.6999,256,917.5,1114.83333333333,1212.45454545455,2.82841666666667,111.5
"MOHK",2006,1,882,1496,1538,2.8615,NA,407.222222222222,981.666666666667,546,1.70985714285714,NA
"MOHK",2006,5,1502,1586,1717,5.3168,NA,640.888888888889,1024.75,795.7,2.01755714285714,NA
"MOHK",2007,1,1617,1595,1844,6.0712,NA,781.833333333333,600.5,926,3.109825,NA
"MOHK",2007,5,1629,1601,1875,7.1235,NA,979.666666666667,688.5,1038.83333333333,3.5864,NA
"MOHK",2008,1,1605,1520,2074,14.2633,NA,1036.875,808.111111111111,1216.83333333333,3.48711666666667,NA
"MOHK",2008,5,1582,1727,2081,12.4423,NA,932.5,756,1244.25,3.64505,NA
"MOHK",2009,1,1597,1605,1881,8.1083,NA,1023.125,975.25,1078.58333333333,3.28341666666667,NA
"MOHK",2009,5,1655,1608,1893,9.2996,NA,1408.28571428571,817.272727272727,1220.75,3.57720833333333,NA
"MOHK",2010,1,1612,1625,1878,14.1481,NA,1168.1,685.5,887.416666666667,3.81668333333333,NA
"MOHK",2010,5,1627,1640,1876,12.4888,NA,1254.41666666667,974.363636363636,1232.25,4.20803333333333,NA
"MOHK",2011,1,1433,1647,2059,5.9498,NA,862,952.142857142857,938,2.82801666666667,NA
"MOHK",2011,5,1375,1660,2072,6.6148,NA,805.727272727273,1015.25,1173.90909090909,3.328825,NA
"MOHK",2012,1,1237,1174,2005,4.1824,NA,570.272727272727,574.444444444444,1092.20833333333,1.77984583333333,NA
"MOHK",2012,5,1337,1316,2004,6.711,NA,765.4,679.181818181818,1209.95833333333,2.28035,NA
"MOHK",2013,1,1332,1035,1362,6.5518,NA,653.857142857143,546,785.571428571429,1.93855454545455,NA
"MOHK",2013,5,1272,1059,1479,6.753,NA,1034.16666666667,671,834.5,2.19398181818182,NA
"MOHK",2014,1,920,1680,1740,2.5274,NA,533.166666666667,724,538.272727272727,0.974516666666667,NA
"MOHK",2014,5,1094,1692,1795,3.4004,NA,546.555555555556,709.6,607.818181818182,1.30625833333333,NA
"MOHK",2015,1,755,925,1319,11.6426,NA,317.5,499.5,622.416666666667,2.14533333333333,NA
"MOHK",2015,5,1092,1489,1275,10.9391,NA,385.444444444444,440.25,578.25,2.247125,NA
"MOHK",2016,1,1276,1702,1901,3.9451,275,656.666666666667,1031,855.5,1.7113,187.75
"MOHK",2016,5,1503,1705,1908,3.7076,272,813.714285714286,779.5,944,2.02081666666667,137.375
"MOHK",2017,1,1319,1260,1643,7.5007,254,949.333333333333,987.666666666667,695.8,2.58481666666667,99.0833333333333
"MOHK",2017,5,1406,1403,1726,9.4607,264,755.888888888889,1125,448.090909090909,2.80814166666667,140.333333333333
"MOHK",2018,1,1160,1473,1664,4.8552,223,664.5,727,1096.83333333333,1.775225,110.555555555556
"MOHK",2018,5,1231,1596,1836,5.8903,271,455.75,693.666666666667,909.1,1.94965833333333,134.142857142857
"NAPL",2000,1,NA,148,NA,1.9101,NA,NA,148,NA,1.69395,NA
"NAPL",2000,5,NA,50,NA,1.8198,NA,NA,50,NA,1.7811,NA
"NAPL",2000,10,NA,351,NA,1.865,NA,NA,351,NA,1.7198,NA
"NAPL",2001,1,NA,1447,1353,9.9043,NA,NA,742.166666666667,535.916666666667,2.51150833333333,NA
"NAPL",2001,5,NA,1445,1499,15.0408,NA,NA,917.428571428571,588.5,2.95158333333333,NA
"NAPL",2001,10,NA,1653,1826,4.0866,NA,NA,1098.57142857143,782.333333333333,1.89366666666667,NA
"NAPL",2002,1,454,1295,1374,4.6217,NA,247,560.5,827.5,2.75497,NA
"NAPL",2002,5,1242,1440,1693,8.1975,NA,816.5,921.285714285714,872.222222222222,3.24398,NA
"NAPL",2002,10,1473,1540,1655,4.2679,NA,933.5,1064,1042.5,2.53399,NA
"NAPL",2002,NA,NA,1069.33333333333,1368.66666666667,2.64423333333333,NA,NA,1069.33333333333,754.5,2.02861666666667,NA
"NAPL",2003,1,1150,1525,1368,18.2213,NA,486.428571428571,469,505.625,6.04151,NA
"NAPL",2003,5,1340,1726,1892,13.7551,NA,628.5,839.8,814.222222222222,5.29045,NA
"NAPL",2003,10,1385,1393,2019,7.7008,NA,884.142857142857,908.166666666667,1014,2.83931,NA
"NAPL",2004,1,1373,1238,1241,14.5312,NA,659,1017,641.666666666667,4.0976,NA
"NAPL",2004,5,1660,1245,1293,18.936,NA,882,660.666666666667,609.285714285714,5.3886,NA
"NAPL",2004,10,1470,1277,1285,16.0517,NA,788.6,655.428571428571,563.666666666667,5.44382222222222,NA
"NAPL",2005,1,1419,1446,1470,6.8694,NA,867,625,592.444444444444,3.15617272727273,NA
"NAPL",2005,5,1320,1559,1822,9.5509,NA,902.555555555556,796.142857142857,669.3,3.61542727272727,NA
"NAPL",2005,10,1538,1268,2022,8.3757,NA,936.1,725.25,774.818181818182,3.25288181818182,NA
"NAPL",2006,1,741,1377,2035,9.469,NA,354.5,1199.66666666667,1120.25,5.5527,NA
"NAPL",2006,5,726,1477,2055,10.9195,NA,364,1253.66666666667,1515.66666666667,7.02198,NA
"NAPL",2006,10,1211,1512,2058,5.4424,NA,460.6,1165.6,1265,3.63058,NA
"NAPL",2008,1,1638,1710,2076,9.8578,NA,697.888888888889,956.6,1235.66666666667,3.2673,NA
"NAPL",2008,5,1563,1731,2088,9.6507,NA,805.75,980.916666666667,1367.33333333333,3.69228333333333,NA
"NAPL",2008,10,1588,1733,2089,7.7314,NA,1110.16666666667,1107.83333333333,1658.25,2.72689166666667,NA
"NAPL",2009,1,1464,1703,1884,7.5855,NA,681.555555555556,1202.125,1200.08333333333,2.78466666666667,NA
